tư_vấn thuốc huyết_áp	chào bác sỹ cho tôi hỏi thuốc huyết_áp savi dopril có làm tăng nhịp tim khi uống không ả 
xin hỏi bác_sĩ kết_quả xét_nghiệm gan	xin hỏi bác_sĩ tôi có xét_nghiệm tổng_thể về gan tại melatec tôi có gửi kèm hình_ảnh kết_quả xin hỏi men gan tôi đã ổn chưa và cần chú_ý điều gì chỉ_số hbeab màu_đỏ là có sao k 
táo_bón	chào bắc sĩ bắc sĩ cho e hỏi e bị táo_bón hôm không đi ngoài được và đã uống men tiêu_hoá nhưng không được và giờ em phải làm sao ạ cảm_ơn ạ 
khám định_lượng virut viêm_gan b	e ở bắc_ninh thì khám ở đâu là gần nhất ạ em muốn xét_nghiệm định_lượng virut viêm_gan b xem thế nào ạ 
nhờ bác_sĩ tư_vấn	thưa bác_sĩ em đi kiểm_tra định_lượng virus viêm_gan b thì chỉ_số là lần trước là ở dưới ngưỡng phát_hiện em hoang_mang quá mong bác_sĩ tư_vấn cho em là do nguyên_nhân vì_sao và biện_pháp điều_trị ạ em chân_thành cảm_ơn 
bệnh bao_tử	tôi bi viêm hang_vị có thể uống thuốc này có tốt không bác_sĩ 
h	e chào bs bs cho e hỏi e bị viêm_gan b men gan e định_lượng virut của e là bs cho e loi khuyên a 
gan và mỡ_máu	e mới nhận đuọc kết_quả xét_nghiệm bs tư_vấn giúp e với ạ 
muốn khám gan mật	tôi muốn kiểm_tra gan mật có vấn_đề gì vậy tôi phải làm những xét_nghiệm gì trước khi làm xét_nghiệm tôi có pải kiêng_khem gì vd có pải nhịn ăn xin cám_ơn 
viêm_gan b	bác_sĩ tư_vấn giúp cháu với cháu bị viêm_gan b mạn_tính ngày m vừa rồi cháu có khám ở melatec chỉ_số định_lượng của cháu là sau đó cháu tự mua thuốc jimenez cà_gai leo tuệ linh và chức_năng gan uống vậy cháu có nên tiếp_tục sử_dụng thuốc đó không ạ và dùng thì trong bao lâu là dừng ạ cháu cảm_ơn bác 
xét_nghiệm máu	em mới xét_nghiệm ở medlatec và kết_quả như hình bên dưới tiền_sử em mắc viêm_gan b bác_sĩ làm_ơn cho hỏi tình_trạng của em hiện_tại như thế nào 
chức_năng gan	chào bác_sĩ chồng em có xét_nghiệm chức_năng gan và có kết_quả như sau nhờ bác_sĩ tư cấn giúp em với ạ http medlatec vn aspx a 
hỏi đáp	em bịch nóng trong người nóng vùng bụng xin hỏi bác_sĩ là bệnh gì ạ vừa xuất_viện điều_trị bệnh sốt thương_hàn đã ngày mong bác_sĩ giải_đáp ạ 
đau bụng	cho m xin giá dịch_vụ nội_soi dạ_dày hiện_tại m đang bị đau bụng trên kèm theo cả đau lưng 
viêm_gan b	cho cháu hỏi cần thực_hiện những xét_nghiệm nào để xác_thực mình có bị viêm_gan b không ạ 
chào bác_sĩ	cho em hỏi viêm_gan b dương_tính được xác_nhận là dưới ngưỡng phát_hiện là sao ạ 
xét_nghiệm chức_năng gan thận	chào bác sỹ bác sỹ cho e hỏi là e bị ngứa khắp người tháng nay lúc thì nổi mụn như đầu đũa hay hầu hết là ko nổi mụn cũng ngứa ngứa ở dạng nhẹ tức là có khi cả ngày không gãi cũng được nhưng đã gãi thì nổi cục nhỏ nhỏ bằng nửa đầu đũa e có tìm_hiểu qua thì có khả_năng nào liên_quan đến chức_năng gan thận hay tiểu_đường không nếu cần làm các xét_nghiệm đó thì làm những chỉ_số nào và giá của các xét_nghiệm đó em xin cảm_ơn 
nuốt hạt vú_sữa	chào bác_sĩ hôm_qua em có lỡ nuốt hạt vú_sữa cho em hỏi có ảnh_hưởng gì đến sức_khỏe không ạ hiện_tại cớ thể em thấy bình_thường ạ em cảm_ơn ạ 
tiêu_chảy dài ngày	chào bác_sĩ mình có tiền_sử trào ngược dạ_dày gần_đây mình bị stress dẫn đến tình_trạng ăn ngủ kém tiêu_chảy dài ngày khoảng hơn ngày mình có tự mua thuốc uống có đỡ nhưng chưa dứt hẳn hôm_qua mình có ăn bún cá sáng nay bụng sôi ùng_ục rất dữ_dội mình đi ra nước mình có uống thuốc cầm men tiêu_hoá hiện_tại không đi nữa nhưng hậu_môn khó_chịu cảm_giác muốn đi bụng vẫn sôi mình không biết có cần đi soi dạ_dày đại_tràng không mong bác_sĩ sớm phản_hồi để mình sắp_xếp đi khám sớm mình cảm_ơn 
nguyên_nhân gây có đờm sau khi ăn	trước đây không lâu tôi đã khám tổng_quát nội_soi dạ_dày và trực_tràng đầy_đủ bây_giờ sau khi ăn xong lần nào tôi cũng bị lên đờm phải ho bật ra khoảng mới hết chuyện này xảy ra được hơn nửa tháng nay cho hỏi đây là do nguyên_nhân trào ngược dạ_dày thực_quản hay có nguyên_nhân gì khác ạ 
bệnh dạ_dày	chào bác_sĩ tôi muốn hỏi tình_trạng đau tức ngực buồn_nôn nôn khó thở có phải triệu_chứng của bệnh liên_quan đến dạ_dày không tôi bị tình_trạng này hôm_nay người mệt_mỏi không muốn làm gì cả mong sớm được hồi_đáp xin cảm_ơn 
mệt_mỏi khó_chịu sau bữa tối	tôi tuổi bị mỡ_máu trylicirid cao và axit uric cao bác_sĩ khuyên uống thêm dầu_cá tôi uống ngày viên dầu_cá omega vào buổi sáng gần_đây sau bữa_ăn tối thấy trong người đặc_biệt là bụng rất ấm_ách khó_chịu bữa tối ăn ít tôi có gen tan máu thể anpha viêm dạ_dày nhẹ tôi nên đi khám ở đâu dầu_cá có ảnh_hưởng đến dạ_dày không 
viêm_gan	em muốn hỏi em bị viêm_gan b và đang có thai nếu làm tổng_quát các xét_nghiệm về gan xem nguy_cơ lây nhiễm cho em_bé va xem tình_trạng bệnh của em thì chi_phí hết bao nhiêu tiền ạ 
viêm_gan	chào bác_sĩ em muốn hỏi e có đi làm xét_nghiệm hbv dna pcr định_lượng va kết_quả là copies ml chỉ_số tăng và em bị viêm_gan b ạ như vậy thì có sao k ạ e lại đang có bầu được thang rồi ạ 
bệnh trĩ	thưa bs tôi đã được mỗ trĩ xong bắng phương_pháp longo nay tôi có cần uống thêm thuốc gì nữa không để tránh tái_phát xin bs cho ý_kiến 
viêm dạ_dày sẹo loét hành_tá_tràng	em bị viêm dạ_dày sẹo loét hành_tá_tràng và dương_tính hp sau khi khám và điều_trị ở medlatec đã âm_tính hp và các triệu_chứng như đau họng giảm tháng gần_đây em thấy đau tức vùng ức và ợ hơi nhiều xin hỏi em đã điều_trị rồi nhưng sao vẫn có những triệu_chứng trên và liệu bệnh của em có thể điều_trị dứt_điểm hay không ạ 
viêm dạ_dày	cho em hỏi em đi khám bệnh nhiều nơi bác_sĩ chuẩn đoán là bệnh viêm dạ_dày có vi_khuẩn hp em có uống thuốc nhưng mãi chẳng hết càng ngày cảm_thấy đau ngay dạ_dày rất nhiều đói cũng đau ăn cũng đau không ăn nổi gì cả và hay buồn_nôn vậy bệnh của em nó có chuyển_biến nặng hay gì không ạ 
cho e hoi bs chuyen_khoa da_day a	bs cho e hoi la vk e tuoi khong dau bung ma chi_khi nao an com thi bi ua mui thuc_an voi lai kho nhuot thi co lam sao khong bs e cam_on bs 
cđc	bs tư_vấn giúp e kết_quả xét_nghiệm như hình đính_kèm 
tiêu_chảy	bé e hơn th nhung khoang ngay_nay bi tieu chảy phân sệt có lúc có nước vậy nen cho bé uô ng gì ak 
kiểm_tra chức_năng gan	xim tư_vấn giúp tôi các xét_nghiệm cơ_bản kiểm_tra chức_năng gan mật chân_thành cảm_ơn 
sốt nhẹ đau đầu không rõ nguyên_nhân	chào bác_sĩ tự_nhiên sáng nay ngủ dậy e thấy đau đầu mệt_mỏi đo nhiệt_độ là độ nhịp tim trên phút cao nhất là lần phút hôm_nay em bị rối_loạn giấc_ngủ căng_thẳng do công_việc em không bị ho đau họng hay sổ_mũi gì cả liệu em chỉ bị mệt tạm_thời thôi hay bị bệnh gì khác em cám_ơn 
xin tư_vấn cho đơn_thuốc	hôm_qua e có khám xét_nghiệm tại medilatec kết_quả xét_nghiệm cho là e bị viêm tuỵ các bác_sĩ tư_vấn thì nên nhập_viện ngay e thì rất là đau lúc đấy mà bác_sĩ chả kê cho e tạm cái đơn_thuốc nào cả vậy tư_vấn kê cho e cái đơn 
xét_nghiệm máu	em muốn kiểm_tra chức_năng gan 
polyp dạ_dày	chào bác_sĩ mẹ em năm nay tuổi nội_soi dạ_dày phát_hiện polyp không cuống cm và đã sinh_thiết trọn bác_sĩ tư_vấn giúp cho em biết polyp này có nguy_hiểm không ạ em xin cảm_ơn 
sáng ngủ dậy hay bị đi ngoài	tôi đã đến khám và nội_soi dạ_dày tại bệnh_viện ở nghĩa_dũng bác_sĩ kết_luận bị viêm loét dạ_dầy đang điều_trị bằng thuốc dc ngày bụng hết tức và sôi nhưng lại có hiện_tượng bị tiêu_chảy vào buổi sáng xin bác_sĩ tư_vấn giúp 
bsung men tiêu_hoá bé tuổi đi ngoài sống phân	bé tuổi đi ngoài sống phân thì dùng men tiêu_hoá nào được ạ kết_quả xét_nghiệm kèm theo hiện thị_trường chủ_yếu phổ_biến men vi_sinh bé đã bổ_sung nhưng vẫn chưa cân_đối nên tôi muốn bổ_sung men tiêu_hoá cho bé nhờ bsy tư_vấn sản_phẩm ạ 
bị rát khóe miệng	chào bác_sĩ chuyện là em có bị lỡ rát ở bên khóe miệng nó màu hơi nâu đen và phồng nhẹ chỉ bị nhẹ và nhỏ thôi ạ mẹ em có nghe hàng_xóm về đốt củi đốt thì xem cây nào bị đốt nó có ra nước ít thì nhanh lấy ra r thấm nước cây đó bôi ở bên khóe em thấy rất rát và nóng khi rửa thì không tẩy ra được em có dùng sửa rửa mặt sửa cũng không ra em rất tự_ti khi đến trường không biết bác_sĩ có cách gì làm tẩy đi vết nước củi đó và làm hết bị đau rát ở khóe miệng k ạ 
kết_quả xét_nghiệm	bs xem hộ e kết_quả này có vấn_đề gì ko a e cám_ơn bs 
viêm rò hậu_môn	e đang nghi_ngờ mình bị viêm rò hạu môn e muốn hỏi bác_sĩ là xử_lý chích có lâu không có phải nằm viện ko và chi_phí hết bai nhiêu ạ e cảm_ơn bác sỹ 
gói khám gan	e dạo này bị ngứa e muốn khám gan thì nên dùng gói khám nào hay khám những xét_nghiệm gì mẫu có lấy tại nhà đc k e cảm_ơn 
hỏi kết_quả xét_nghiệm viêm_gan b	bác sỹ cho em hỏi chồng em đã làm các xét_nghiệm viêm_gan b và đếm tải_lượng virus vào tháng trước em muốn hỏi với kết_quả như vậy thì đã phải dùng thuốc chưa ạ hai chỉ_số này kiểm_tra các nhau ngày ạ 
trị thâm do bỏng tỏi	thưa bác_sĩ cháu bị bỏng tỏi ạ tối cháu có lấy tỏi đắp lên mặt để cũng khá lâu sau đó chỗ đó bị sưng lên cháu có chườm đá cho đỡ sưng rồi nhưng sáng_mai chỗ sưng đó lại bị thâm mong bác_sĩ tư_vấn cho cháu làm sao đễ hết thâm ạ cháu cám_ơn nhiều ạ 
tppa định_tính dương_tính	bác_sĩ cho em hỏi tpha định_tính dương_tính nghĩa là gì ạ mong bác sỹ tư_vấn giúp em xin chân_thành cảm_ơn bác sỹ và bệnh_viện chúc bệnh_viện ngày càng phát_triển trở_thành một địa_chỉ tin_cậy để người dân đến khám chữa bệnh 
chi_phí xét_nghiệm sùi mào_gà ở nam_giới	xin chào bác_sĩ hiện em thấy có số nốt ở thân dương_vật em khá lo_lắng về nó nên định đi xét_nghiệm sùi mào_gà vậy bác_sĩ cho em biết giá xét_nghiệm là bao nhiêu ạ 
đi vệ_sinh vào các buổi sáng	mỗi sáng ngủ dậy đi vệ_sinh nặng có bị bệnh gì không ạ bác_sĩ 
theo_dõi sự phát_triển của viêm_gan b	chào bsi mình mới nhận được kết_quả xn máu theo_dõi sự phát_triển của viêm_gan b mong bsi xem ảnh và tư_vấn cho mình mình bị vgb cũng được năm rồi và vừa sinh cháu đầu 
khám dạ_dày đại_tràng gói sàng_lọc ung_thư	em chào anh chị bác sỹ em vừa sinh bé thứ được hơn tháng gần_đây có biểu_hiện bị đau phần trên rốn chếch về phía trái đau râm_ran và nhói liên_tục trong mấy ngày trước e có tiền_sử bị viêm dạ_dày nhưng tháng có khám lại ở medlatec thì hết viêm và không còn virut hp nưaz ah e nghi bị dạ_dày hoặc đại_tràng nhưng không biết đang cho con bú thì có dc nội_soi gây mê không ah 
khám lại	tôi bị đau bụng tiêu_chảy chiêù hôm_qua tôi đi khám kết_quả là nhiễm_trùng đường_ruột bác_sĩ kê thuốc nhưng tôi uống xong thấy đau nhiều hơn mức_độ đau liên_tục tiêu_chảy cũng nhiều vậy tôi có nên đi khám lại luôn ko 
viêm_gan b	bác_sĩ cho e hỏi là e bị viêm_gan b uống canxi có bị làm tăng men gan không ạ 
đầy bụng khó tiêu	chào bác_sĩ em thường_xuyên bị đầy hơi chướng bụng mặc dù em đã ăn xong khá lâu rồi có đại_tiện được thấy sốt_ruột nhưng bụng em lúc nào cũng ậm ịch mệt_mỏi đi vệ_sinh lúc táo_bón có khi tiêu_chảy nhất là sau bữa sáng em rất dễ đau bụng từ rất lâu rồi bác_sĩ chẩn_đoán em bị trào ngược dạ_dày em có dùng thuốc tuần hết nhưng bây_giờ lại mắc nữa 
xét_nghiệm giang_mai	chào bác_sĩ ạ tình_trạng của em như sau ạ e có qhtd không an_toàn cách đây năm tháng e có đi xét_nghiệm về các bệnh lây qua qhtd nhưng có giang_mai làm lo_lắng ạ vì em có bị nổi nốt ban_đỏ trên quy_đầu sau khi qhtd ngày do em không biết nên có dùng móng tay để bóp nhưng không thấy có gì ạ và nốt_ban đó mất sau ngày chỉ để lại một chấm đỏ như đầu tăm khoảng đến tuần sau thì nó mất hẳn ạ và em bị nổi hạch bên bẹn và em có đến bệnh_viện da_liễu trung_ương làm xét_nghiệm test nhanh giang_mai vào thời_điểm tháng ngày_sau khi qhtd không an_toàn và test nhanh rpr định_tính sau năm tháng ngày kết_quả đều âm_tính ạ cùng thời_điểm này do viện da_liễu tw thông_báo hết sinh phẩm làm tpha nên e qua bạch_mai làm sau khoảng hơn tiếng thì có kết_quả là âm_tính ạ em thấy hơi nghi_ngờ về xét_nghiệm tpha này do trên tờ kết_quả họ ghi tên xét_nghiệm là tpha định_tính và định_lượng kết_quả là âm_tính chỉ_số họ không ghi gì và đến cột máy xét_nghiệm pp xét_nghiệm lại ghi là cobas ecla ạ theo em biết thì xét_nghiệm giang_mai không thực_hiện trên máy cobas và tên xét_nghiệm ghi là tpha nhưng sau lại ghi pp ecla em mốn các bs là với các xét_nghiệm và thời_gian thực_hiện như trên thì em đã có thể khẳng_định là mình không mắc bệnh không ạ nếu chưa thì em cần làm thêm xét_nghiệm nào ạ 
khám sức_khoẻ	cho em hỏi tại_sao em khám sk mà kết_quả trả về ko có chi_tiết vậy ạ chỉ có bảng này em muốn hỏi thêm về các chỉ_số bôi đỏ về gan các thứ và xem có ảnh_hưởng như thế nào ạ 
men gan alt giảm	xin tư_vấn kết_quả xét_nghiệm men gan chỉ_số alt tôi xét_nghiệm lại như vậy có vấn_đề nghiêm_trọng gì không vì trước đó ngày tôi có xet nghiệm men gan chỉ_số là nay kết_quả xét_nghiệm xuống sau khi uống thuốc hạ men gan và dừng rượu bia tam ngay theo tư_vấn bác_sĩ vấn_đề có nghiêm_trọng gì về gan không ạ 
tư_vấn sức_khoẻ	chào bs em tuổi thường_xuyên bị đau bụng dưới vào buổi sáng sớm có hôm buồn đi ngoài có hôm không những lúc lo_lắng hay căng_thẳng cũng đau kiểu như vậy cơn đau không quằn_quại nhưng cảm_giác khó_chịu làm tỉnh_giấc giữa chừng tiền_sử bị viêm hang_vị dạ_dày và trào ngược dịch mật cho em hỏi đó có thể là triệu_chứng của bệnh gì và em nên đi làm những gì để chẩn_đoán bệnh em cảm_ơn 
h pylori lgm định_lượng	kết_quả xét_nghiệm hp của tôi là dưới chuẩn nhưng lại có màu chữ xanh ngoài chữ màu_đen là bình_thường chữ đỏ là vượt bình_thường xin bác sỹ giải_thích kết_quả và cho lời_khuyên để tôi được tốt hơn ah xin cảm_ơn 
có uống đc nước cam khi bị sốt kèm tiêu_chảy	con tôi được tháng tuổi và bị sốt kèm theo tiêu_chảy tôi muốn hỏi bác_sĩ xem con tôi có uống đc nước cam trong lúc đang bị như thế này ko 
dạ_dày	bác_sĩ cho hỏi ca có chỉ_số vượt qua chỉ_tiêu thì ntn ạ 
móng tay cái đột_nhiên xuất_hiện nhiều vết lõm li_ti như đầu tăm	xin chào bác_sĩ cách đây tháng móng tay cái của em đột_nhiên xuất_hiện các chấm nhỏ li_li như đầu tăm người vẫn ăn uống bình_thường ko bị sao bác_sĩ tư_vấn giúp em với ạ em xin cảm_ơn nhiều ạ 
tiêu_hoá	bác_sĩ cho em hỏi em mới có bầu nhưng thường_xuyên bị táo e đã ăn nhiều rau_xanh uống nhiều nước nhưg việc đi đại_tiện vẫn khó_khăn ạ vậy cho e hỏi có loại thực phấm nào bà bầu uống được không ạ và làm thế nào để khắc_phục tình_trạng táo em cảm_ơn 
khám tổng_quát	chào bác_sĩ xin bác_sĩ tôi biết tôi muốn làm các xét_nghiệm kiểm_tra tiêu_hoá tiểu_đường tiết liệu thì đăng_ký gói xét_nghiệm nào xin cảm_ơn bác_sĩ 
câu_hỏi về phiếu kết_quả xét_nghiệm máu	miễn_dịch ige tăng là bệnh gì ạ điều_trị như thế nào thưa bác_sĩ 
tầm soát ung_thư trực_tràng miễn_phí	xin mã tầm soát ung_thư trực_tràng miễn_phí tôi đã gọi đt và được hướng_dẫn vào đây lấy mã 
đổi thuốc bôi	bs không kê thuốc bôi tôi hỏi bs bên mình báo dùng protolog được nhưng sản_phẩm hết hàng xin bs tư_vấn loại thuốc khác tôi dùng protogel nhưng gây ngứa hiện_tại bôi tạm tetracyclin mỡ vui_lòng giải_đáp 
xin đổi thuốc bôi	bs hoàng thị năng kê đơn v daflon normangut nhưng không kê thuốc bôi tôi có hỏi bs mua protolog bôi nhưng thuốc này không có visa hết hàng xin tư_vấn mua thuốc bôi nào vì trước đó bôi protogel thảo_dược vào gây ngứa không dùng được hiện_tại tôi bôi tetacyclin thấy đỡ ngứa nhưng hậu_môn không xẹp đi tôi vừa khám hôm t xong 
viêm_gan b	người_nhà tôi xét_nghiệm kết_quả hbsag dương_tính như vậy nghĩa là thế nào 
làm xét_nghiệm viêm_gan	em muốn làm xét_nghiệm viêm_gan thì chi_phí bao nhiêu ạ có hỗ_trợ lấy mẫu xét_nghiệm tại nhà ko ạ 
tư_vấn của bác_sĩ	đây là kết_quả xét_nghiệm hbv của em rất mong nhận được sự tư_vấn của bác_sĩ xem kết_quả như trên đã ở ngưỡng nào có cần điều_trị thêm không ah 
xét_nghiệm giang_mai tp test nhanh âm_tính có uy_tín	chào bác_sĩ mình có xét_nghiệm giang_mai tp test nhanh âm_tính ở bệnh_viện sau hành_vi nguy_cơ năm nếu vậy có cần xét_nghiệm rpr nữa không ạ 
viêm_gan b	bác sỹ cho e hỏi là xét_nghiệm viêm_gan b chi_phí hết bao nhiêu ạ e muốn xét_nghiệm trước khi sinh e bé ạ em cảm_ơn bác sỹ 
bệnh da_liễu	mấy tháng nay cơ_thể con nổi nhiều nốt đỏ đen chủ_yếu là tại vùng lưng mông bụng đùi vai ban_đầu có màu_đỏ li_ti sau đó chuyển sang thâm đen như các nốt thâm của mụn lâu ngày vẫn không mờ những nốt này không ngứa lắm chỉ thỉnh_thoảng hoặc khi đụng vào thì mới ngứa nếu không để_ý đến thì cũng không đáng_kể ban_đầu con không để_ý vì tưởng là mụn lưng con thường_dùng tay gỡ hoặc nặn lúc sau thấy lan ra đùi thì con mới biết vì con sợ nên chưa dám đi khám ở đâu hết mong bác_sĩ tư_vấn giúp con ạ 
tư_vấn kết_quả xét_nghiệm	tôi có kết_quả xét_nghiệm ngày có một số chỉ_tiêu nằm ngoài ngưỡng bình thuòng đề_nghị bác_sĩ giải_thích và tư_vấn cho tôi tôi gửi kèm theo ảnh chụp kết_quả xét_nghiệm đặc_biệt là xét_nghiệm độ hoạt_động của virus viêm_gan b thanks giáng_hương 
tư_vấn kết_quả	bác sỹ tư_vấn giúp em kết_quả với e có so_sánh với kết_quả ngày nhận thấy men gan tăng dần lên tức là bệnh xấu đi ko biết có đúng ko 
xin tư_vấn của bác sỹ	khoảng tháng trở_lại đây tôi gặp tình_trạng đi ngoài tiêu_chảy ngay_sau khi ăn trước đây tôi đi vệ_sinh rất đều lần ngày vào buổi sáng khi thức dậy từ ngày gặp tình_trạng trên có ngày tôi đi đến lần vậy bác_sĩ vui_lòng tư_vấn cho tôi cần đi khám và phải làm những xét_nghiệm gì để biết được tình_trạng sức_khoẻ của bản_thân cảm_ơn bác_sĩ 
lây nhiễm_khuẩn hp	thưa bác sỹ tôi nội_soi dạ_dày đại_tràng phát_hiện bị nhiễm_khuẩn hp bây_giờ tôi muốn kiểm_tra xem con tôi có bị lây nhiểm từ tôi k con tôi gần tuổi tôi phải làm những xét_nghiệm gì cho cháu ạ cảm_ơn bác sỹ 
đại_tràng	em muốn hỏi em đi ngoài phân nát có ngày đi lần có cảm_giác bị thiếu máu 
tư_vấn về kết_quả xét_nghiệm	với kết_quả xét_nghiệm theo ảnh gửi kèm xin bác sỹ tư_vấn giúp ạ 
tư_vấn trị_liệu	mình bị viêm lỗ chân_lông ở chân lâu rồi và cũng tìm_hiểu về phương_pháp trị_liệu trên mạng rất nhiều nhưng thấy không khả_quan nên muốn bác_sĩ tư_vấn thêm về cách trị_liệu viêm lỗ chân_lông 
tư_vấn điều_trị sùi mào_gà	xin chào bác sỹ tôi bị sùi mào_gà ở vùng_kín và hậu_môn bên bệnh_viện có điều_trị bệnh sùi mào_gà không ạ và chi_phí điều_trị ra sao xin cảm_ơn 
nên ăn gì sau cắt polyp đại_tràng	tôi vừa mới cắt polyp đại_tràng nên ăn gì và có phải kiêng gì không có phải kiêng ăn sau khi cắt không và tôi đã ăn cơm ngay_sau khi cắt có bị sao không sợ ảnh_hưởng đến vết cắt không 
virus viêm_gan b	thưa bác_sĩ phát_hiện bị viruts viên gan b thì người_bệnh cần phải xét_nghiệm gì thêm nữa ko để điều_trị nếu có thì xét_nghiệm những gì nữa thưa b sĩ 
bác sỹ xem giúp mình	bac sỹ xem giúp mình mã kh b kết_quả xét_nghiệm chức_năng gan mình bị cao gấp đôi như vậy có nguy_hiểm k ạ và dị_ứng mình bị dị_ứng với cái j vậy 
khuẩn hp dạ_dày	thưa bác_sĩ tôi khám ở meladtec và phát_hiện bị viêm dạ_dày hành_tá_tràng dương_tính với khuẩn hp bác_sĩ khám đã kê đơn điều_trị cho tôi tôi muốn hỏi bác_sĩ là tôi bị nhiễm_khuẩn hp vậy vợ tôi có chắc_chắn nhiễm hp như tôi không và nếu có thì có thể uống thuốc như đơn_thuốc tôi đang điều_trị không chân_thành cảm_ơn tư_vấn của bác_sĩ kính_chúc bác_sĩ sức_khỏe và thành_công 
ung_thư gan viêm_gan b	bác_sĩ tư_vấn giúp tôi bị k gan đã phẫu_thuật năm gần_đây khám thì chỉ_số hbv dna định_lượng là chỉ_số hbsag miễn_dịch bán tự_động tự_động là afp men gan bình_thường vậy có gì cần lưu_ý gì không a cảm_ơn bs 
viêm_gan b	bs cho em hỏi em bị viên gan b mãn_tính chuyển k gan nay xét_nghiệm chỉ_số hbsag miễn_dịch bán tự_động có kết_quả là thì nghĩa là sao ạ cảm_ơn bs 
bệnh sùi mào_gà	cho hỏi xét_nghiệm chẩn_đoán sùi mào_gà cần lấy bệnh_phẩm gì cách lấy bệnh_phẩm để gửi xét_nghiệm 
máy nội_soi	bs cho e hỏi e khám bên trích sài nội_soi dạ day va đại_tràng cho e hỏi dây nội_soi tiệt_trùng hay là mỗi người dây a cho e hỏi máy bên đó là máy mới tốt chuẩn chứ ạ 
hbcab dương_tính	e làm xn bên minh hbsag âm_tính hbcab dương tinh hbsag định_lượng hbcab igm âm_tính hbeag âm_tính hbeab âm tinh hbc dna dưới ngưỡng phát hiên bs cho em hoi e giờ khỏi hẳn viem_gan b chưa a e cug ko biết bị mắc từ lúc nào ma có dương tinh hbcab ạ bs cho em lời_khuyên em câm ơn 
viêm_gan	hết chương_trình khám viêm_gan b niên phũ rồi ah sao e không đăng_ký được qua úng dụng icnm bên mình yêu_cầu nhập sđt nhưng lại ko nhập được 
xin tư_vấn tiểu_tiện buốt và khả_năng std	thưa bác_sĩ thời_gian gần_đây em phát_hiện bạn gái em có mối quan_hệ ngoài luồng lần cuối_cùng chúng_em có quan_hệ tình_dục là ngày chủ_nhật vừa rồi khi quan_hệ có sử_dụng bcs chúng_em luôn sử_dụng bcs khi qhtd tuy nhiên lúc đầu bạn gái em có dùng miệng thì không sử_dụng bcs từ ngày thứ tư vừa_qua em thấy một số dấu_hiệu bất_thường như sau đi tiểu không buốt rát hay nóng nhưng khi tiểu xong thì có cảm_giác tức và khó_chịu ở vùng đầu dương_vật cảm_giác tồn_tại khoảng phút sau khi tiểu thì bớt em đã chú_ý theo_dõi tới ngày hôm_nay dương_vật lỗ sáo không có mủ cả buổi sáng ngủ dậy cũng như trong ngày nước tiểu không có màu và mùi bất_thường không có mủ trắng hay vàng lẫn trong nước tiểu em muốn hỏi bác_sĩ là liệu em có khả_năng bị viêm_nhiễm không và có khả_năng bị các bệnh liên_quan đến đường tình_dục không em sẽ sắp_xếp thời_gian để lên medlatec xét_nghiệm kiểm_tra tổng_quát các bệnh như lậu giang_mai sùi mào_gà hiv bác_sĩ có thể tư_vấn giúp em là thời_gian nào tiến_hành xét_nghiệm cho kết_quả tốt nhất em xin chân_thành cám_ơn bác_sĩ 
em vừa nhận được kq mong bác_sĩ tư_vấn	chỉ_số hbeag là âm_tính lần trước cũng vậy chỉ_số hbeab là dương_tính lần trước cũng vậy chỉ_số hbv dna pcr định_lượng lần trước là copies ml lần này là dưới mức định_lượng 
tư_vấn kết_quả xét_nghiệm	cháu nhà tôi có kết_quả soi phân như hình_ảnh đính_kèm bác_sĩ tư_vấn giúp 
bệnh viêm_gan b	tôi bị viêm_gan b tôi có đi xét_nghiệm năm và ngày vừa_qua kqua tôi đã đính_kèm ảnh xin hỏi bác_sĩ là tình_hình bệnh gan của tôi đang tiến_triển theo chiều_hướng nào ạ bệnh viêm_gan đã chuyển sang thể hoạt_động chưa ạ vào bjo thì uống loại thuốc bổngan nào là tốt cho bệnh viêm_gan b ạ tôi xin chân_thành cảm_ơn bác_sĩ 
dạ_dày đại_tràng	cháu chào bác_sĩ ạ kết_quả xn của chồng cháu chi số pepsonogen là liệu có vấn_đề gì nguy_hiểm ko ạ cháu cảm_ơn bác a 
din ý_kiến tư_vấn về kết_quả xét_nghiệm	tôi đang điều_trị diệt siêu_vi b và có kết_quả xét_nghiệm như hình_ảnh kèm theo 
chỉ_số hbv dna cao xin được bác_sĩ tư_vấn	chỉ_số hbv dna như hình gửi kèm mong bác_sĩ tư_vấn giúp tôi tuổi nữ nhiễm gan b từ 
viêm_gan b	bs cho e hỏi xn của e như này thì bây_giờ có cần làm thêm xn hay điều_trị gì k a 
kqxn	nhờ bs xem giúp kết_quả xét_nghiệm theo kq chỉ_số vgb cao nhờ bs tư_vấn phương_pháp điều_trị 
benh gan	t da lam xn vien ganb mau nuoc tieu sieu_am xn gam nhiem mo va xn tai virut cac xn tren co biet dc ut gan ko toi_co can lam xn ve ung_thu gan ko 
ngưa toàn_thân	chào bác sỹ khoảng tuần nay tôi bị ngứa khắp người ngứa có nổi những hạt đỏ li_ti tôi đã mua thuốc dị_ứng để uống nhưng không thuyên_giảm vậy tôi nên làm những xét_nghiệm gì để tìm ra nguyên_nhân và chữa_trị mong nhận được tư_vấn từ bác sỹ 
